application_type,homeownership,interest_rate,loan_amount
individual,MORTGAGE,6.08,12000
individual,RENT,5.32,16500
individual,MORTGAGE,5.32,19200
individual,MORTGAGE,9.93,7050
joint,MORTGAGE,20.0,15000
joint,OWN,15.05,11200
individual,RENT,7.96,8000
individual,MORTGAGE,26.77,20000
individual,MORTGAGE,9.44,10800
individual,MORTGAGE,13.59,7200
individual,RENT,15.04,12000
individual,MORTGAGE,5.31,20000
individual,MORTGAGE,14.08,7200
individual,RENT,13.59,6000
individual,RENT,7.97,5000
individual,RENT,9.93,16000
individual,MORTGAGE,6.08,15600
individual,RENT,21.85,10000
individual,RENT,10.42,10000
individual,MORTGAGE,17.47,30000
individual,RENT,10.9,30000
individual,MORTGAGE,6.08,16000
individual,RENT,12.61,20000
joint,MORTGAGE,23.87,6275
individual,OWN,18.06,15000
individual,MORTGAGE,13.59,16000
individual,MORTGAGE,16.02,10000
individual,MORTGAGE,9.93,25000
individual,RENT,9.92,12000
individual,RENT,7.35,6000
individual,OWN,10.91,12000
individual,MORTGAGE,13.59,10000
joint,MORTGAGE,14.07,20000
individual,RENT,7.34,8500
individual,OWN,15.05,36000
joint,RENT,6.72,40000
individual,MORTGAGE,16.01,9000
individual,RENT,7.34,7200
individual,RENT,23.88,6100
joint,OWN,15.05,2250
individual,OWN,6.72,10000
individual,OWN,21.45,25000
individual,MORTGAGE,25.82,16000
individual,RENT,14.08,32000
individual,RENT,15.05,12000
individual,RENT,9.44,10000
individual,MORTGAGE,17.09,2200
individual,RENT,16.01,4800
individual,MORTGAGE,10.9,35000
individual,RENT,12.62,35000
individual,OWN,21.45,10000
joint,MORTGAGE,10.41,2400
individual,RENT,5.32,19600
individual,MORTGAGE,21.85,26000
individual,MORTGAGE,18.06,12000
individual,RENT,5.32,13000
individual,RENT,17.09,11750
individual,MORTGAGE,9.93,30000
individual,RENT,6.08,7000
joint,RENT,17.09,20000
individual,RENT,16.01,35000
individual,MORTGAGE,13.59,10000
individual,OWN,9.92,20000
individual,MORTGAGE,15.04,40000
individual,MORTGAGE,6.71,12000
joint,RENT,17.47,16000
individual,MORTGAGE,11.99,10000
individual,RENT,13.59,10000
individual,MORTGAGE,7.35,15000
individual,MORTGAGE,10.42,24000
individual,MORTGAGE,7.97,40000
individual,MORTGAGE,9.92,25000
joint,MORTGAGE,12.61,32175
individual,MORTGAGE,9.93,25000
individual,RENT,14.07,24000
individual,OWN,14.08,15000
individual,MORTGAGE,12.62,36000
individual,RENT,16.02,20000
joint,MORTGAGE,14.07,30000
individual,MORTGAGE,18.06,11000
individual,RENT,14.08,15000
individual,RENT,16.02,13500
individual,MORTGAGE,11.99,10000
individual,OWN,6.72,25000
individual,MORTGAGE,19.03,25000
individual,OWN,6.71,28000
individual,RENT,6.07,10000
individual,MORTGAGE,7.35,10000
individual,RENT,13.59,10000
individual,RENT,13.59,2500
individual,OWN,5.31,6500
individual,RENT,7.97,10000
joint,MORTGAGE,7.35,14500
individual,RENT,11.99,40000
individual,RENT,16.02,16000
joint,RENT,9.93,14000
individual,RENT,19.42,10000
individual,MORTGAGE,7.96,2400
joint,MORTGAGE,13.59,17000
joint,OWN,12.61,24000
individual,MORTGAGE,19.03,20000
individual,RENT,16.01,30000
individual,OWN,6.72,3600
individual,MORTGAGE,6.07,20000
joint,MORTGAGE,15.05,8000
individual,RENT,6.07,16000
individual,MORTGAGE,13.58,24000
individual,RENT,10.42,2000
individual,RENT,11.98,2000
individual,RENT,9.43,6500
individual,RENT,16.02,8000
individual,RENT,18.06,7000
individual,RENT,12.61,25000
individual,MORTGAGE,14.07,15000
individual,RENT,10.42,35000
individual,RENT,10.42,26000
individual,MORTGAGE,17.47,12000
individual,RENT,10.91,10000
individual,MORTGAGE,5.32,15000
joint,MORTGAGE,9.44,14000
joint,MORTGAGE,9.44,15000
individual,RENT,14.08,10000
individual,RENT,7.35,5000
individual,RENT,12.62,28125
individual,RENT,15.04,10000
individual,MORTGAGE,9.92,10000
individual,MORTGAGE,10.9,40000
individual,RENT,6.72,10000
individual,OWN,5.32,8000
individual,RENT,11.99,35000
individual,MORTGAGE,5.32,20000
individual,OWN,10.41,9000
individual,RENT,14.07,20000
individual,RENT,6.07,3000
joint,RENT,9.93,8000
individual,OWN,11.99,10000
individual,RENT,6.71,5000
individual,MORTGAGE,5.31,15000
individual,RENT,13.59,10000
individual,OWN,10.9,40000
individual,RENT,12.62,3000
individual,RENT,10.42,1500
individual,MORTGAGE,15.05,28000
individual,RENT,6.71,8000
individual,RENT,21.45,20000
individual,MORTGAGE,9.44,40000
individual,MORTGAGE,11.99,11000
individual,RENT,11.99,3300
individual,MORTGAGE,6.07,15000
individual,OWN,5.31,11500
individual,OWN,6.07,16500
individual,RENT,19.42,15000
individual,RENT,21.85,35000
individual,MORTGAGE,14.08,4400
individual,MORTGAGE,18.06,19000
individual,OWN,10.91,3125
individual,MORTGAGE,9.44,20000
individual,OWN,12.62,20000
individual,OWN,9.44,10000
individual,MORTGAGE,6.08,35000
individual,RENT,11.98,14000
individual,OWN,9.92,16000
individual,MORTGAGE,13.59,8000
individual,RENT,10.41,7000
joint,MORTGAGE,9.93,24000
individual,MORTGAGE,7.97,10000
individual,RENT,19.42,2500
individual,MORTGAGE,18.45,25000
individual,MORTGAGE,6.72,5000
joint,MORTGAGE,10.91,9000
individual,RENT,17.47,5000
individual,RENT,10.41,10000
joint,MORTGAGE,6.72,1200
individual,MORTGAGE,9.44,10000
individual,RENT,12.61,6000
individual,RENT,7.96,2500
joint,OWN,10.9,32000
individual,MORTGAGE,21.85,28000
individual,RENT,7.96,10000
individual,MORTGAGE,9.43,35000
individual,MORTGAGE,15.04,25000
individual,MORTGAGE,14.07,15000
individual,MORTGAGE,10.9,16000
individual,MORTGAGE,6.08,20000
individual,RENT,9.93,10000
individual,RENT,12.61,10000
individual,MORTGAGE,10.42,15000
individual,MORTGAGE,30.17,11100
individual,RENT,19.42,24000
individual,OWN,9.43,1950
individual,MORTGAGE,17.47,15000
individual,RENT,7.34,8000
individual,RENT,7.96,8500
individual,MORTGAGE,13.58,12000
joint,OWN,9.43,24000
individual,MORTGAGE,21.85,12475
individual,RENT,21.85,11500
individual,RENT,22.91,1000
individual,MORTGAGE,12.61,15000
individual,MORTGAGE,9.93,13250
individual,MORTGAGE,6.72,10000
individual,RENT,19.42,18000
individual,MORTGAGE,9.92,2400
individual,MORTGAGE,14.07,21700
individual,RENT,10.42,36525
individual,MORTGAGE,7.35,5000
individual,MORTGAGE,6.71,28000
individual,MORTGAGE,12.62,35000
joint,MORTGAGE,21.45,40000
individual,MORTGAGE,16.01,14000
individual,MORTGAGE,16.02,20000
individual,RENT,10.9,7000
individual,MORTGAGE,11.99,20000
individual,RENT,7.34,40000
individual,RENT,12.61,10000
individual,RENT,6.71,8000
individual,RENT,9.43,4000
individual,RENT,13.59,30000
individual,RENT,6.08,20000
individual,MORTGAGE,7.96,24000
individual,RENT,7.35,4000
individual,RENT,10.9,14000
individual,MORTGAGE,6.07,24000
individual,RENT,19.03,2800
individual,MORTGAGE,14.08,32000
individual,MORTGAGE,10.42,12000
individual,MORTGAGE,9.44,9600
individual,MORTGAGE,5.31,9600
individual,RENT,7.97,3500
individual,MORTGAGE,5.32,8000
individual,MORTGAGE,10.91,12000
individual,MORTGAGE,10.91,32400
joint,MORTGAGE,19.03,3600
individual,RENT,12.61,15000
individual,MORTGAGE,13.59,8300
individual,MORTGAGE,5.32,25600
individual,RENT,13.58,20000
individual,MORTGAGE,16.01,27900
individual,MORTGAGE,7.35,4000
individual,MORTGAGE,9.92,1000
individual,MORTGAGE,9.43,24000
individual,MORTGAGE,7.35,40000
individual,MORTGAGE,9.43,22000
individual,RENT,9.44,6400
individual,RENT,17.09,12000
individual,MORTGAGE,18.06,30000
individual,OWN,21.85,12000
individual,RENT,6.72,20000
individual,MORTGAGE,9.43,24000
individual,MORTGAGE,10.42,38400
individual,MORTGAGE,15.04,10000
individual,RENT,18.06,30000
individual,RENT,15.04,9000
individual,RENT,13.59,28000
joint,MORTGAGE,7.35,29000
individual,RENT,15.05,5000
individual,RENT,26.77,26000
joint,MORTGAGE,7.35,25000
individual,OWN,11.98,25000
individual,RENT,13.59,14000
individual,RENT,11.98,6000
individual,RENT,7.35,12000
individual,MORTGAGE,9.92,20000
individual,RENT,14.08,10000
individual,MORTGAGE,9.93,10000
individual,RENT,17.47,5000
individual,MORTGAGE,9.43,10000
individual,OWN,7.97,10000
individual,OWN,9.43,15000
individual,RENT,14.08,17000
individual,MORTGAGE,7.97,19475
individual,RENT,14.07,10000
joint,MORTGAGE,9.93,8000
individual,RENT,10.42,10000
individual,RENT,25.82,16000
individual,MORTGAGE,25.82,14000
individual,MORTGAGE,7.35,11300
individual,MORTGAGE,15.05,15000
individual,RENT,7.96,10000
individual,OWN,13.58,25000
individual,MORTGAGE,16.01,15000
individual,MORTGAGE,7.34,19200
individual,MORTGAGE,6.08,14000
individual,RENT,12.61,13000
individual,MORTGAGE,16.02,28000
individual,MORTGAGE,11.99,26000
individual,RENT,6.08,7000
individual,RENT,30.79,25000
individual,OWN,16.02,20000
individual,RENT,12.61,20000
individual,MORTGAGE,12.61,12000
individual,RENT,14.08,8650
individual,RENT,17.09,7500
individual,MORTGAGE,7.96,21000
individual,OWN,10.42,12000
individual,OWN,7.34,10000
joint,MORTGAGE,9.92,25000
individual,OWN,6.72,8500
individual,RENT,10.42,18000
individual,RENT,6.71,18000
individual,RENT,16.01,9500
joint,MORTGAGE,14.08,20000
individual,RENT,10.9,10000
individual,MORTGAGE,5.31,30000
individual,RENT,17.47,28000
individual,MORTGAGE,9.93,25000
individual,MORTGAGE,9.43,30000
individual,RENT,14.08,40000
individual,RENT,7.97,8000
individual,RENT,7.35,12000
individual,RENT,15.05,12000
individual,RENT,14.07,8000
individual,MORTGAGE,11.99,10000
individual,RENT,5.31,6650
individual,MORTGAGE,5.32,10000
individual,RENT,11.99,5200
joint,RENT,15.04,15525
individual,MORTGAGE,6.72,6000
joint,RENT,7.97,5000
individual,MORTGAGE,5.32,3500
individual,MORTGAGE,22.91,15000
individual,RENT,10.91,21625
individual,MORTGAGE,15.05,11200
individual,MORTGAGE,7.35,40000
individual,MORTGAGE,11.99,10000
individual,RENT,9.93,36000
individual,RENT,20.0,17000
individual,MORTGAGE,13.59,9000
individual,RENT,26.77,28000
individual,RENT,16.01,15000
individual,RENT,5.31,7000
individual,MORTGAGE,21.85,20000
individual,RENT,11.99,1000
individual,MORTGAGE,6.08,7000
individual,RENT,19.03,5000
individual,MORTGAGE,7.35,30000
individual,MORTGAGE,7.96,6000
individual,OWN,20.39,20000
joint,OWN,15.05,20000
individual,MORTGAGE,7.96,12000
individual,RENT,5.32,5000
individual,RENT,14.08,15000
individual,RENT,18.45,15000
individual,OWN,6.72,5000
individual,RENT,17.09,13000
individual,OWN,10.9,17975
individual,RENT,13.58,28275
individual,MORTGAGE,14.08,11000
individual,MORTGAGE,6.72,25000
individual,OWN,9.43,3300
individual,RENT,11.99,30000
individual,RENT,11.98,7200
individual,MORTGAGE,10.42,30000
individual,RENT,11.98,25000
individual,RENT,7.96,20000
individual,MORTGAGE,9.93,4000
individual,RENT,9.43,40000
joint,RENT,10.41,40000
individual,RENT,7.34,13000
individual,RENT,14.07,15000
individual,RENT,10.42,27000
individual,MORTGAGE,7.97,13000
individual,MORTGAGE,21.45,15000
individual,RENT,21.45,3000
individual,MORTGAGE,26.77,21600
individual,MORTGAGE,20.39,35000
individual,RENT,10.42,2500
individual,RENT,17.47,4000
individual,MORTGAGE,7.34,10000
joint,RENT,7.35,6400
individual,RENT,17.09,6900
individual,MORTGAGE,13.59,6000
individual,MORTGAGE,6.07,3000
joint,OWN,9.93,10000
individual,MORTGAGE,9.44,12000
joint,MORTGAGE,11.99,16000
individual,RENT,25.82,30000
joint,RENT,19.03,10800
individual,RENT,10.41,12000
individual,RENT,12.61,6000
individual,MORTGAGE,6.71,6500
individual,RENT,10.42,6000
individual,RENT,18.06,7500
individual,RENT,6.08,10000
individual,RENT,7.97,27500
joint,MORTGAGE,24.85,25875
individual,RENT,15.04,6000
joint,MORTGAGE,21.45,40000
individual,RENT,17.09,2500
individual,RENT,20.0,7000
individual,RENT,9.44,8000
individual,OWN,15.04,12000
individual,MORTGAGE,20.39,15000
individual,RENT,7.97,4000
individual,RENT,11.98,6500
individual,OWN,6.07,40000
joint,MORTGAGE,21.45,32000
individual,RENT,9.44,10000
individual,RENT,9.43,15000
individual,MORTGAGE,21.85,12000
individual,MORTGAGE,11.99,24000
individual,RENT,10.42,15000
individual,RENT,13.59,15000
individual,MORTGAGE,7.35,10000
individual,RENT,6.71,8000
individual,MORTGAGE,9.44,6300
individual,MORTGAGE,6.72,4500
individual,MORTGAGE,7.97,30000
individual,RENT,15.05,12000
individual,MORTGAGE,6.72,16000
individual,OWN,5.32,24000
individual,OWN,17.47,15000
individual,MORTGAGE,15.05,15000
individual,OWN,10.91,14000
individual,RENT,21.45,35000
individual,MORTGAGE,5.32,12000
individual,MORTGAGE,12.62,35000
individual,MORTGAGE,12.61,10000
individual,RENT,10.91,5000
individual,MORTGAGE,5.32,36500
individual,MORTGAGE,7.96,4800
joint,MORTGAGE,11.99,25000
joint,MORTGAGE,6.08,20000
individual,MORTGAGE,13.58,2400
individual,RENT,7.35,6000
individual,MORTGAGE,7.97,20000
individual,MORTGAGE,10.42,24000
individual,RENT,6.71,15000
individual,MORTGAGE,5.31,20000
individual,RENT,12.61,11000
individual,MORTGAGE,25.82,7500
individual,MORTGAGE,18.06,14800
individual,RENT,9.44,20000
individual,RENT,19.03,10000
individual,MORTGAGE,5.32,22000
individual,MORTGAGE,11.99,10000
individual,RENT,7.96,13000
joint,MORTGAGE,18.45,32000
joint,MORTGAGE,28.72,32000
individual,MORTGAGE,9.92,20000
joint,RENT,7.96,2050
individual,OWN,13.58,12000
individual,RENT,7.34,12000
individual,OWN,9.43,12000
individual,MORTGAGE,15.05,5400
individual,RENT,11.98,6000
individual,RENT,13.59,7400
individual,RENT,14.08,8000
individual,RENT,14.07,12000
individual,OWN,16.01,10000
joint,MORTGAGE,9.43,40000
individual,RENT,9.93,9500
individual,OWN,12.61,15000
individual,RENT,14.08,14000
individual,MORTGAGE,16.02,10000
individual,MORTGAGE,19.03,35000
joint,RENT,9.93,11500
joint,MORTGAGE,7.96,21975
individual,MORTGAGE,10.91,12000
individual,RENT,18.06,23000
individual,RENT,5.31,10000
individual,MORTGAGE,11.98,40000
individual,RENT,21.85,20000
individual,MORTGAGE,7.35,10000
joint,MORTGAGE,9.93,40000
individual,OWN,6.08,15000
individual,OWN,16.01,8000
individual,RENT,10.9,6025
individual,RENT,7.35,30000
joint,RENT,9.93,20000
individual,MORTGAGE,6.72,35000
individual,MORTGAGE,9.92,12000
individual,RENT,21.45,15000
individual,RENT,21.85,13000
individual,MORTGAGE,20.0,20000
individual,OWN,10.9,1600
individual,OWN,13.58,6000
individual,OWN,21.85,30000
individual,OWN,10.9,15000
individual,RENT,10.42,3000
joint,MORTGAGE,22.91,39600
individual,OWN,12.62,5000
individual,MORTGAGE,14.07,18875
joint,MORTGAGE,15.05,40000
individual,MORTGAGE,9.93,15000
individual,RENT,16.01,6000
individual,MORTGAGE,12.62,12500
individual,MORTGAGE,7.35,9500
individual,MORTGAGE,15.04,13000
joint,RENT,9.44,20000
individual,MORTGAGE,16.01,35000
individual,RENT,10.9,7000
individual,RENT,6.72,16700
individual,RENT,9.93,15000
individual,MORTGAGE,11.99,40000
individual,MORTGAGE,9.93,24000
individual,RENT,10.41,4000
individual,MORTGAGE,13.59,35000
joint,MORTGAGE,15.05,9525
individual,RENT,14.08,13500
individual,RENT,19.03,20000
individual,RENT,6.08,10000
individual,OWN,11.99,3500
individual,MORTGAGE,5.31,9000
joint,MORTGAGE,12.62,15000
individual,RENT,13.59,5000
individual,RENT,13.59,5000
individual,OWN,11.98,2200
individual,MORTGAGE,14.08,10000
individual,RENT,15.05,2000
individual,RENT,12.62,6025
individual,MORTGAGE,10.9,28000
individual,MORTGAGE,10.9,10000
individual,RENT,6.72,38400
individual,OWN,9.92,40000
joint,RENT,16.02,18000
individual,RENT,9.43,10000
individual,OWN,11.99,27000
individual,RENT,13.59,15000
individual,RENT,6.72,24000
individual,RENT,13.58,10000
individual,OWN,9.92,6250
individual,MORTGAGE,10.41,25000
individual,RENT,10.91,4000
joint,RENT,12.61,36000
individual,MORTGAGE,10.91,12000
individual,RENT,6.07,20000
individual,RENT,10.42,20000
individual,MORTGAGE,9.43,16000
joint,MORTGAGE,6.08,21000
individual,MORTGAGE,10.91,20000
individual,OWN,6.07,7200
joint,RENT,9.44,22000
individual,RENT,16.02,10000
individual,MORTGAGE,10.42,8500
joint,MORTGAGE,9.44,15000
individual,RENT,7.34,5000
individual,MORTGAGE,19.42,30000
individual,RENT,15.05,21000
individual,MORTGAGE,16.02,20000
individual,RENT,16.02,21600
individual,RENT,14.07,28000
individual,MORTGAGE,10.41,35000
individual,MORTGAGE,14.08,5000
individual,MORTGAGE,11.99,6000
individual,RENT,10.42,25000
joint,MORTGAGE,13.59,15000
joint,MORTGAGE,6.08,8000
joint,MORTGAGE,6.71,35200
individual,MORTGAGE,10.42,6000
individual,OWN,7.34,6000
individual,RENT,17.47,10000
individual,OWN,9.93,35000
individual,MORTGAGE,17.09,35000
individual,MORTGAGE,12.62,24000
individual,RENT,21.45,15000
individual,RENT,7.97,2000
individual,MORTGAGE,9.93,40000
individual,RENT,7.96,7500
individual,OWN,6.72,10000
individual,OWN,16.01,24000
individual,RENT,7.96,10000
individual,MORTGAGE,10.42,9500
individual,MORTGAGE,6.08,11500
individual,OWN,6.72,18000
individual,MORTGAGE,5.31,10000
joint,MORTGAGE,10.42,6000
individual,MORTGAGE,25.81,30000
individual,RENT,7.35,15000
individual,MORTGAGE,10.9,14000
individual,OWN,5.32,9500
individual,MORTGAGE,16.02,10000
joint,RENT,9.92,6000
individual,RENT,6.71,30000
individual,RENT,14.08,10000
individual,RENT,9.44,12000
individual,MORTGAGE,16.02,16000
individual,MORTGAGE,10.42,24000
individual,RENT,7.97,4000
individual,MORTGAGE,16.02,8500
individual,MORTGAGE,9.43,3100
individual,MORTGAGE,11.98,20000
individual,OWN,10.9,25000
individual,RENT,6.71,21000
individual,RENT,6.71,8000
individual,MORTGAGE,19.03,30000
individual,MORTGAGE,23.88,20400
individual,MORTGAGE,10.9,2500
individual,RENT,19.03,15000
individual,RENT,6.72,10000
individual,RENT,9.44,16000
individual,RENT,5.31,9000
individual,MORTGAGE,14.07,24000
individual,MORTGAGE,13.58,7000
individual,MORTGAGE,14.08,10000
individual,RENT,9.43,5000
individual,OWN,10.91,17000
individual,RENT,16.02,4000
individual,RENT,18.06,18000
individual,MORTGAGE,5.31,9000
individual,RENT,11.99,18300
individual,MORTGAGE,28.72,16000
individual,MORTGAGE,16.01,15600
individual,RENT,10.91,6000
joint,RENT,12.62,24000
individual,RENT,22.91,10000
individual,OWN,17.09,7500
individual,MORTGAGE,10.42,16000
individual,MORTGAGE,7.97,12150
individual,MORTGAGE,14.08,10000
individual,RENT,7.34,10000
individual,MORTGAGE,7.34,29500
individual,OWN,11.99,10000
individual,RENT,11.99,12800
individual,MORTGAGE,10.91,6000
individual,MORTGAGE,9.44,25000
individual,RENT,6.72,6000
joint,RENT,18.45,32000
individual,MORTGAGE,10.42,16800
individual,RENT,17.09,16000
individual,RENT,16.01,10000
individual,OWN,15.04,10000
individual,MORTGAGE,30.17,10000
joint,RENT,7.97,8000
individual,OWN,9.44,12000
joint,OWN,12.61,10000
individual,RENT,16.02,23000
individual,MORTGAGE,14.08,40000
individual,MORTGAGE,10.91,22900
individual,MORTGAGE,17.47,13500
joint,MORTGAGE,17.09,30000
individual,MORTGAGE,17.47,20000
individual,OWN,10.42,24000
individual,MORTGAGE,10.91,6000
individual,MORTGAGE,6.07,10000
individual,RENT,16.02,11000
individual,MORTGAGE,22.91,16000
individual,RENT,11.99,5775
individual,RENT,12.61,10000
individual,RENT,19.03,16000
individual,RENT,15.04,35000
joint,RENT,6.07,40000
individual,MORTGAGE,14.08,12000
joint,MORTGAGE,10.9,14000
individual,MORTGAGE,6.07,8000
individual,RENT,10.91,14000
individual,OWN,6.72,18000
joint,MORTGAGE,9.44,20000
individual,RENT,25.81,35000
individual,OWN,12.61,6025
individual,RENT,12.61,10000
individual,OWN,7.35,6000
individual,MORTGAGE,20.0,25000
individual,MORTGAGE,24.84,24000
individual,RENT,6.08,5400
individual,RENT,11.99,5000
individual,MORTGAGE,9.44,22250
individual,MORTGAGE,5.32,10000
individual,MORTGAGE,9.92,27000
individual,RENT,21.45,4000
individual,MORTGAGE,12.61,16000
individual,MORTGAGE,14.08,4000
individual,MORTGAGE,10.9,9600
individual,RENT,15.05,7000
individual,RENT,11.98,8000
individual,RENT,10.91,15775
individual,MORTGAGE,14.07,2000
individual,OWN,17.09,14000
individual,RENT,30.75,16175
individual,RENT,29.69,16000
individual,MORTGAGE,11.98,7500
individual,MORTGAGE,5.32,10000
individual,MORTGAGE,13.59,24000
individual,MORTGAGE,15.05,16000
individual,MORTGAGE,14.08,28000
individual,MORTGAGE,19.03,16000
joint,MORTGAGE,13.59,26650
individual,MORTGAGE,12.61,7625
individual,RENT,18.06,10000
joint,MORTGAGE,14.08,9800
joint,MORTGAGE,18.06,16000
joint,RENT,6.07,40000
individual,MORTGAGE,11.99,4800
individual,RENT,5.31,40000
individual,RENT,10.42,15000
individual,RENT,6.08,3600
individual,MORTGAGE,18.06,10000
individual,MORTGAGE,15.05,4000
individual,MORTGAGE,6.72,8000
individual,OWN,12.62,8000
individual,RENT,6.07,20000
joint,MORTGAGE,5.32,6000
individual,MORTGAGE,7.34,3000
individual,MORTGAGE,9.93,12000
joint,MORTGAGE,15.04,30000
individual,MORTGAGE,6.07,35000
individual,MORTGAGE,10.41,15000
individual,MORTGAGE,5.32,40000
individual,RENT,16.01,10000
individual,RENT,28.72,28000
individual,RENT,7.35,5000
individual,MORTGAGE,5.31,16500
individual,RENT,6.72,23000
joint,MORTGAGE,7.97,7000
joint,MORTGAGE,15.04,21000
individual,RENT,21.45,12000
individual,RENT,14.07,12000
individual,OWN,6.72,20000
individual,OWN,11.99,7000
individual,RENT,10.9,15000
individual,MORTGAGE,6.72,10400
individual,RENT,9.92,8000
individual,OWN,7.97,20000
individual,OWN,7.34,10000
individual,RENT,9.92,3800
individual,MORTGAGE,9.43,40000
individual,OWN,10.42,4375
individual,OWN,16.02,14400
individual,OWN,6.08,6000
individual,RENT,20.39,10000
individual,MORTGAGE,13.59,8000
joint,MORTGAGE,9.44,19200
individual,RENT,10.42,3000
individual,MORTGAGE,9.92,12000
individual,RENT,11.99,19200
individual,MORTGAGE,6.72,13500
individual,MORTGAGE,18.06,35000
joint,MORTGAGE,9.93,40000
individual,RENT,10.42,10000
individual,RENT,14.08,4000
individual,MORTGAGE,9.43,36000
individual,MORTGAGE,16.02,8000
individual,RENT,6.72,10000
individual,RENT,9.43,7000
individual,MORTGAGE,7.35,10000
individual,RENT,6.08,16500
individual,RENT,6.08,8000
individual,RENT,10.91,16800
individual,MORTGAGE,17.09,10000
individual,MORTGAGE,19.42,10000
joint,RENT,11.99,25000
joint,MORTGAGE,13.58,10000
individual,MORTGAGE,11.99,12000
individual,RENT,13.59,10800
individual,RENT,9.44,8500
individual,MORTGAGE,17.09,10000
individual,RENT,11.98,10800
joint,MORTGAGE,20.39,36000
individual,MORTGAGE,26.3,17950
individual,MORTGAGE,13.59,20000
individual,OWN,9.93,20000
individual,RENT,10.41,6000
individual,MORTGAGE,12.62,7000
individual,RENT,17.09,3000
individual,RENT,6.07,6000
individual,MORTGAGE,24.85,28000
individual,OWN,10.91,10000
individual,MORTGAGE,5.31,5000
individual,RENT,6.08,40000
individual,MORTGAGE,6.07,4000
individual,MORTGAGE,9.43,22000
joint,RENT,14.07,8000
individual,MORTGAGE,17.09,10000
individual,MORTGAGE,11.98,25200
individual,RENT,14.07,30000
individual,MORTGAGE,9.92,12000
individual,MORTGAGE,5.32,10000
individual,RENT,16.02,10000
individual,MORTGAGE,17.47,35000
individual,MORTGAGE,9.43,25600
joint,RENT,16.02,30000
joint,MORTGAGE,9.93,25000
individual,MORTGAGE,9.93,29825
individual,RENT,9.93,20000
individual,MORTGAGE,10.9,24000
individual,OWN,10.42,20000
individual,MORTGAGE,11.99,7500
individual,RENT,26.3,10000
joint,OWN,9.43,10000
individual,OWN,7.97,29600
individual,OWN,11.98,6100
joint,MORTGAGE,15.04,25000
joint,MORTGAGE,7.97,24000
individual,OWN,14.08,10000
