license_issue_date,animal_name,species
2018-11-01,Emma,Cat
2018-12-26,Mala,Dog
2018-12-10,Hobbes,Cat
2018-10-19,Sophie,Cat
2018-11-16,Herbie,Cat
2018-11-25,Charlie,Dog
2018-12-16,Polo,Cat
2018-12-31,Whisky,Dog
2018-11-17,Bowie,Dog
2018-11-01,Coco Bella,Dog
2018-10-25,Antny,Cat
2018-10-23,Middie,Cat
2018-10-13,Morticia,Cat
2018-12-01,Kiki,Dog
2018-12-06,Buddy,Dog
2018-10-22,Lola,Cat
2018-11-05,Smokey,Cat
2018-11-18,Corky,Dog
2018-11-08,Sasha,Cat
2018-12-21,Cocoa,Dog
2018-10-22,Gretel,Dog
2018-10-24,Archie,Dog
2018-11-17,Shadow,Cat
2018-11-12,King,Dog
2018-09-22,Ori,Cat
2018-12-19,Jerri,Dog
2018-12-18,Nellie,Dog
2018-12-23,Oliver,Cat
2018-11-30,Nigel,Dog
2018-10-27,Roxy,Dog
2018-12-01,Chewie,Cat
2018-11-05,Andre,Dog
2018-11-17,Bruno,Dog
2018-10-21,Grace,Dog
2018-12-12,Otis,Dog
2018-10-31,Louie,Dog
2018-12-18,Phantom,Cat
2018-12-23,Periclaws,Cat
2018-12-05,Quinn,Dog
2018-11-03,Max,Dog
2018-11-20,Impact,Dog
2018-12-28,Gus,Dog
2018-11-01,Rocky,Dog
2018-11-28,Garrett,Dog
2018-12-29,Olive,Dog
2018-11-21,Spud,Dog
2018-11-18,Treva,Dog
2018-12-01,Suzie,Dog
2018-10-22,Eddie,Cat
2018-12-05,Smella,Cat
2018-10-27,Radish,Cat
2018-11-30,Cameo,Dog
2018-10-29,Lily,Cat
2018-11-25,Desmond,Dog
2018-11-15,Dingle Jr.,Dog
2018-12-30,Diego,Dog
2018-12-10,Oscar,Cat
2018-11-07,Scout,Dog
2018-11-25,Max,Cat
2018-12-15,Ashley,Dog
2018-12-26,Casey,Cat
2018-11-06,Olivia,Cat
2018-11-24,Abby,Dog
2018-11-01,Pantalaimon,Cat
2018-11-27,Lulu,Dog
2018-12-06,Rocky,Dog
2018-12-12,Sammy,Dog
2018-11-17,Jezzabelle,Cat
2018-12-07,Tito,Dog
2018-12-12,Minky,Cat
2018-11-20,Mylo,Dog
2018-11-10,SAM Howdy,Dog
2018-12-10,Ava,Dog
2018-12-16,Eliott,Dog
2018-11-16,D'Artagnan,Dog
2018-12-12,Theodore Shadow Box,Dog
2018-12-18,Herdy,Cat
2018-12-13,Otis,Dog
2018-10-31,Cash,Dog
2018-11-21,Ruby,Dog
2018-10-30,Buffy,Cat
2018-11-20,Peanut,Dog
2018-11-03,Rudie,Dog
2018-10-27,Cooper,Dog
2018-10-25,Eva,Dog
2018-12-15,Buddy,Dog
2018-11-27,Oscar,Dog
2018-10-20,Madison,Dog
2018-11-12,Baron,Dog
2018-11-26,Huncha,Cat
2018-11-16,Coco,Dog
2018-10-20,Ember,Dog
2018-12-14,Winston,Dog
2018-11-20,Willie Nelson,Dog
2018-12-26,Maximus,Cat
2018-11-18,Leo,Dog
2018-12-06,Spicy,Cat
2018-12-26,Romi,Cat
2018-12-20,Reggie,Dog
2018-12-29,Houston,Dog
2018-11-24,Lulu,Dog
2018-12-31,Mister,Dog
2018-11-07,River,Dog
2018-10-28,Angus,Dog
2018-11-29,Pippa,Dog
2018-12-23,Dilly,Dog
2018-12-29,Chanel,Dog
2018-12-14,Polly,Dog
2018-12-10,Sophia,Dog
2018-12-18,Beanie,Dog
2018-03-06,Dusty,Cat
2018-10-28,Linus Pawling,Dog
2018-12-11,Lindy,Cat
2018-11-26,Daisy,Dog
2018-10-20,Sugar,Cat
2018-10-20,Meekoo,Dog
2018-10-26,Mia,Dog
2018-10-26,Nellie,Dog
2018-12-13,Charlie,Dog
2018-12-26,Mochi,Cat
2018-11-20,Puff,Cat
2018-11-10,Seymour,Cat
2018-12-15,Bitsy,Cat
2018-11-05,Werner Karl Heisenfluff,Cat
2018-11-15,Sierra,Dog
2018-11-12,Marley,Dog
2018-11-19,Angel,Dog
2018-12-23,Jazmine,Dog
2018-09-28,Flynn,Cat
2018-11-23,Hazel,Dog
2018-12-01,Murphy,Dog
2018-02-22,Rocky,Cat
2018-11-30,Bellamy,Dog
2018-10-28,Ginger,Cat
2016-12-06,Stanley,Dog
2018-10-25,Bucky,Cat
2017-12-28,Westley,Dog
2018-12-13,Pippi Longstocking,Dog
2018-11-26,Ambrosia,Cat
2018-11-21,Unknown,Dog
2018-11-06,Jack,Cat
2018-10-27,Sasha,Dog
2018-11-10,Maddie,Dog
2018-12-14,Kellee,Dog
2018-10-24,Tum Tum,Dog
2018-12-20,Piper,Dog
2018-12-08,Barley,Cat
2018-12-27,Ford,Dog
2016-12-20,Kola,Dog
2018-12-21,Leila,Dog
2018-12-24,Tulio,Dog
2018-12-14,Leela,Dog
2018-11-05,Guiness,Cat
2018-12-01,Marco,Cat
2018-11-27,Maya,Dog
2018-11-11,Thisbe,Cat
2017-12-13,Sailor,Dog
2018-10-19,Jasper,Dog
2018-11-08,Elise,Cat
2018-12-07,Emma,Cat
2018-10-19,Leopold,Dog
2018-11-02,Pineapple,Cat
2018-12-07,Zeus,Cat
2018-12-02,Klaus,Dog
2018-09-17,Fredo,Dog
2018-11-20,LUCY,Dog
2018-11-27,Kodiak,Dog
2018-11-01,Stella,Dog
2018-11-25,Gucci,Dog
2018-08-30,A.C.,Cat
2018-12-08,Lou Lou,Dog
2018-11-25,Sugar,Cat
2018-09-23,Thelma,Cat
2016-12-01,Neil,Dog
2018-11-20,Layla,Dog
2018-12-14,Molly,Dog
2018-11-12,Beanie,Cat
2018-11-01,Monkey Girl,Dog
2018-11-06,Winston,Dog
2018-11-24,Lucy,Dog
2018-12-01,Falcor,Dog
2018-11-28,Annabelle,Cat
2018-11-24,Nacho,Dog
2018-12-21,Faelan,Dog
2018-12-15,Katana,Dog
2018-10-23,Hershey,Cat
2018-11-05,Keiko,Dog
2018-11-16,Sacha,Dog
2018-10-23,Maggie,Dog
2018-11-04,Olive,Dog
2018-11-19,Charlotte,Dog
2018-11-20,Mina,Dog
2018-11-20,Katie,Dog
2018-12-30,Lucilla,Dog
2018-11-29,Doc,Dog
2018-11-27,Flynn,Dog
2018-11-12,Murdock,Dog
2018-11-01,Penelope,Dog
2018-11-15,Cano,Dog
2018-12-13,Bronte,Dog
2018-10-26,Mr. Bean,Dog
2018-12-13,Fredo,Cat
2018-11-30,Mercer,Cat
2018-10-27,Matilda,Cat
2018-12-17,Alfie,Dog
2018-12-09,Clyde,Cat
2018-11-19,Sam,Cat
2018-11-09,Dexter,Dog
2018-12-10,Stanley,Cat
2018-12-09,Peewee,Cat
2018-11-17,Lexi,Dog
2018-11-01,Baxter,Dog
2018-11-20,George,Dog
2018-12-10,Mochi,Dog
2018-11-20,Ripley,Dog
2018-11-10,Zippy,Dog
2018-11-27,Everett,Dog
2018-11-05,Thalia,Cat
2018-11-25,Fozzie,Dog
2018-12-03,MJ,Dog
2018-11-03,Jiang Bluu,Cat
2018-12-27,Ozzy,Dog
2018-08-29,Avon,Dog
2018-12-06,Carmen,Dog
2018-12-11,Willy Skippy,Cat
2018-11-07,Flash,Cat
2018-11-24,Leo,Dog
2018-12-23,Puma,Cat
2018-12-21,Sif,Dog
2018-11-28,Suki,Dog
2017-04-21,Gwennie,Dog
2018-11-06,Elaine,Cat
2018-12-07,Fiona,Dog
2018-12-13,Pixie,Dog
2018-10-07,Betts,Cat
2017-02-23,Pepper,Cat
2018-11-20,Oscar,Dog
2018-11-12,Moro,Dog
2018-12-20,Zippy,Cat
2018-12-08,Albus,Cat
2018-12-04,Casper,Dog
2018-10-26,Ace,Dog
2018-11-28,Tofu,Cat
2018-11-04,Kodiak,Dog
2018-12-08,Sissy,Cat
2018-11-12,Bosco,Dog
2016-12-20,Daisy,Dog
2017-12-29,Maximilian,Dog
2018-12-31,Bella,Dog
2018-10-27,Kali,Dog
2018-11-12,Batsy,Dog
2018-12-09,Darwin,Dog
2018-10-22,Kitty Mow,Cat
2018-12-07,Bogart,Dog
2016-11-22,Katharina,Cat
2018-11-03,Sully,Dog
2018-11-27,Nephthys,Dog
2018-10-19,Rocky,Cat
2018-10-29,Ozzy,Dog
2018-11-27,Kuro,Cat
2018-12-06,Poca,Dog
2018-10-26,Quinn,Dog
2018-12-09,Magnus,Dog
2018-10-27,Maggie,Dog
2018-11-25,Taz,Dog
2018-12-09,Marge,Dog
2018-12-22,Chloe,Cat
2018-11-17,Bodhi,Dog
2018-11-26,Mister Man,Cat
2018-12-22,Hattie,Dog
2018-10-24,Daisy,Dog
2018-11-29,Tux,Dog
2018-12-01,Max,Dog
2018-12-29,Tora,Cat
2018-11-01,Thurman,Dog
2017-12-16,Precious,Dog
2018-12-14,Bartlet,Cat
2018-11-13,Jewel,Dog
2017-12-18,Charlie,Dog
2018-11-22,Mouse,Cat
2018-11-30,Baxter Bones,Dog
2018-12-14,Fido,Dog
2018-12-28,Em,Dog
2018-11-19,Ernie,Dog
2018-12-24,Royal,Dog
2018-12-09,Oliver,Cat
2018-11-25,Badu,Cat
2018-10-29,Lynx,Cat
2018-11-24,Lilo,Dog
2018-12-27,Ally,Dog
2018-12-03,Bella,Cat
2018-12-09,Elphie,Cat
2018-11-20,Hank,Dog
2018-12-22,Tolmie,Dog
2018-10-18,Rocco,Dog
2018-11-19,Mist,Cat
2018-12-29,Kaiku,Dog
2018-11-29,Milli,Dog
2018-10-20,Scout,Dog
2018-10-18,Dargo,Dog
2018-11-14,Hogan,Dog
2018-12-23,Winston,Dog
2018-10-20,Stevie,Dog
2018-12-10,Hamish,Dog
2018-12-21,Tiger,Cat
2018-11-12,WERLWIND'S PSALMS (CALL NAME: BALOO),Dog
2018-11-12,Copper,Dog
2018-12-18,Mija,Dog
2018-10-22,Lucy,Dog
2018-10-26,Macy Dixon,Cat
2018-11-29,Toby,Dog
2018-12-07,Winston,Dog
2018-12-09,Maxwell,Cat
2018-12-20,Fergus,Dog
2018-11-17,Winston,Cat
2018-11-09,Frankie,Dog
2018-11-06,Trouble,Cat
2018-10-27,Liza with a Z,Dog
2018-12-13,Wilton,Dog
2018-12-18,Lhasa,Dog
2018-11-29,Maya,Dog
2018-11-08,Swat,Cat
2018-10-23,Lupe,Dog
2018-05-31,Chabibi,Dog
2018-12-13,Coco,Dog
2018-11-30,Nana,Dog
2018-12-19,Otis,Dog
2018-11-01,Clavia,Cat
2018-12-20,Midnight,Cat
2018-09-20,Mango,Cat
2018-11-30,Mochi,Dog
2018-11-18,Reina,Dog
2018-10-22,Kiki,Dog
2018-12-01,Nya,Dog
2018-11-29,Lola,Dog
2018-03-19,Chicku,Dog
2018-08-07,Bernard,Cat
2018-12-18,Maxx,Dog
2018-12-21,Mew,Cat
2018-12-07,Oscar,Dog
2018-11-17,Butch,Dog
2018-11-20,Mickey,Dog
2018-12-28,Zorro,Cat
2018-12-27,Odessa,Cat
2018-11-29,Bodhi,Dog
2018-12-11,Steve,Dog
2018-12-27,Zara,Cat
2018-11-17,Pepper,Dog
2018-10-18,Munchkin,Cat
2018-09-30,Matilda,Cat
2018-11-11,Beau,Cat
2018-11-09,Rusty,Dog
2018-12-16,Zeus,Cat
2018-11-27,Lucy,Dog
2018-11-04,Stella,Cat
2018-12-10,Dakota,Dog
2018-12-20,Maggie,Dog
2016-12-13,Danny,Cat
2018-11-06,Lucy,Cat
2018-12-19,Cas,Dog
2018-11-17,Juno,Dog
2018-12-10,Robin,Dog
2018-11-26,Molly,Dog
2018-10-26,Harry,Dog
2016-12-27,Geoffrey,Dog
2018-03-18,Bobby,Cat
2018-11-24,Lucy,Dog
2018-11-18,Faith,Cat
2018-10-24,Desmo,Dog
2018-11-03,Snacks,Dog
2018-11-10,Angel,Dog
2018-10-27,Snuggles,Dog
2018-10-20,Max,Cat
2018-10-25,Fukayna,Dog
2018-10-19,Phoebe,Cat
2018-12-23,Tegan,Dog
2018-12-07,Maia,Dog
2018-11-09,Calhoun,Dog
2018-11-20,Frida,Cat
2018-10-22,Tortilla,Cat
2018-12-18,Skipper,Dog
2018-12-07,Scout,Dog
2018-12-01,Samantha,Cat
2018-12-23,Hannah,Cat
2018-10-20,Macca,Dog
2018-11-01,Charley,Dog
2018-12-12,Hobbes,Cat
2018-12-23,Sydney,Dog
2018-11-29,Inky,Dog
2018-12-03,Zeke,Dog
2018-12-03,Buster,Dog
2018-12-04,Rosie,Dog
2018-10-30,Gremlie,Dog
2018-12-30,Maude,Cat
2018-12-16,Gwen,Dog
2018-11-26,Roger,Dog
2018-12-11,Griffey,Dog
2018-10-28,Snoopy,Dog
2018-12-23,Ritter,Dog
2018-11-24,Judy,Dog
2018-11-01,Kiki,Dog
2018-11-12,Anya,Cat
2018-11-05,Ziegfeld,Cat
2018-12-04,Bart,Dog
2018-11-19,George,Dog
2018-12-18,Ernest,Cat
2018-10-20,Whiskers,Dog
2018-10-31,Bella,Dog
2018-11-10,Buddy,Dog
2018-12-07,Prof. Kepler McSmartyPants Locke,Dog
2018-11-14,Momo,Dog
2018-11-30,Ollie,Dog
2018-11-25,Autumn,Dog
2018-11-16,Pumpkin,Cat
2017-02-28,Butch,Dog
2018-10-27,Elton,Dog
2018-10-25,Pip,Dog
2018-12-14,Fergi,Dog
2018-11-07,Max,Cat
2018-12-21,Boobafina,Dog
2018-11-09,Milo,Dog
2018-12-29,Susie,Dog
2018-12-29,Mikey,Dog
2018-11-19,Ernie,Dog
2018-11-25,Doug,Cat
2018-10-25,Elsie,Dog
2018-11-02,Chap,Cat
2018-11-02,Abby,Dog
2018-12-28,Milo,Dog
2018-12-11,Delilah,Dog
2018-11-28,Gaspode,Dog
2018-12-09,Otto,Cat
2018-11-17,Motor,Cat
2018-12-16,Atlas,Dog
2018-10-19,Truffle,Goat
2018-11-19,Sam,Cat
2018-11-28,Bea,Dog
2018-11-19,Amber,Dog
2018-12-15,Daisy,Dog
2018-12-28,Bruges,Dog
2018-11-19,Thelma,Cat
2018-12-11,Gracie,Dog
2018-12-15,Sophie,Dog
2018-10-31,Mitts,Cat
2018-10-30,Tyke,Cat
2018-11-24,Gillian,Dog
2018-11-29,Cooper,Dog
2018-11-21,Thistle,Cat
2018-12-28,Cheddar,Cat
2018-12-23,Bentley 2,Dog
2018-11-18,Molly,Dog
2018-12-26,Kittie,Cat
2018-12-19,Romeo,Dog
2018-10-27,LuluBelle,Dog
2018-11-01,Luna,Dog
2018-12-21,Fletcher,Dog
2017-12-07,Cherry,Cat
2018-10-11,Ghost,Cat
2018-11-11,Melvin,Cat
2018-11-03,Rover,Cat
2018-12-24,Blinky,Dog
2018-12-12,Skeezix,Cat
2018-12-23,Alucard,Cat
2018-12-07,Ruby,Dog
2018-12-28,Waldo,Cat
2018-12-01,Chloe,Dog
2018-11-09,Charlie,Dog
2018-10-20,Snow White,Cat
2018-12-12,Buster,Cat
2016-12-29,Tallulah,Cat
2018-12-13,Emma,Dog
2018-11-11,Arlo,Dog
2018-11-21,Roo,Cat
2018-11-05,Birthday,Cat
2018-10-20,Pookie,Cat
2018-12-08,Boomer,Dog
2018-11-24,Travis,Dog
2018-12-07,Opal,Dog
2018-12-30,Roy Bergeson,Cat
2018-10-29,Ella,Cat
2018-11-05,Middy,Cat
2018-11-12,Charlie,Cat
2018-11-01,Bodhi,Dog
2016-12-02,Smudge,Dog
2018-08-18,Mac,Dog
2018-12-27,Teddy,Cat
2018-12-19,Ajax,Dog
2018-11-13,Arrayah,Dog
2018-11-07,Jax,Dog
2016-11-08,Francoise,Cat
2018-10-20,Rupert,Dog
2018-11-22,Raegan,Dog
2018-11-24,Sage,Cat
2018-11-27,Jacques,Cat
2018-08-24,Cowgirl,Cat
2018-11-21,Oliver,Cat
2018-11-06,Lulu,Dog
2018-12-07,Lilly,Dog
2018-10-15,Summer,Cat
2018-11-23,Em,Cat
2018-10-27,Coco Chanel,Cat
2018-12-11,Bernie,Cat
2018-11-24,Sophie,Dog
2018-10-21,Ash,Cat
2018-11-03,Sammy,Dog
2018-11-17,Kane,Dog
2018-11-26,Nootka,Dog
2018-11-07,Lupo,Dog
2018-11-24,Paddington Bear,Dog
2018-12-01,Kade,Dog
2018-10-24,Naito,Cat
2018-11-21,Moonlight,Cat
2018-11-28,Groot,Dog
2018-11-10,Kaley,Dog
2018-11-18,Zoe,Dog
2018-12-08,Meeko,Cat
2018-12-15,Frannie,Cat
2018-11-28,Bruno,Dog
2018-11-03,Igor,Dog
2018-12-31,Max,Dog
2018-12-10,Alfie,Dog
2018-11-26,Lady,Dog
2018-12-10,Taffy,Cat
2018-11-19,Slinky,Cat
2018-12-02,Oki,Dog
2018-11-18,Sigurd,Cat
2018-10-27,Mons,Cat
2018-10-19,Murphy,Dog
2017-12-06,Kayla,Dog
2018-10-31,Franklin Kinks,Cat
2018-11-27,Tzeitel,Cat
2018-12-06,Chloe,Dog
2018-12-13,Paulie,Cat
2018-09-08,Jade,Cat
2018-11-18,Toothless,Cat
2018-12-07,Princeton,Dog
2018-11-25,Maxi,Cat
2018-10-23,Levi,Dog
2018-11-01,Ziggy Stardust,Dog
2018-10-23,Kiwi,Cat
2018-12-17,Bowie,Dog
2018-10-27,Buddy,Dog
2018-11-14,Sparrow,Dog
2018-12-29,Vasya,Cat
2018-12-11,Harvey,Dog
2018-11-11,Abby,Dog
2018-12-21,Bennett,Dog
2018-12-28,Zippy,Cat
2018-12-05,Cooper,Dog
2018-11-24,Maizy,Dog
2018-10-29,Piper,Dog
2018-10-28,Carly,Dog
2018-11-13,Mo Kitty,Cat
2018-11-24,Julia,Cat
2018-11-28,Cassie,Cat
2018-11-15,Monkey,Cat
2018-11-04,Cosmo,Dog
2018-10-23,Sunny,Dog
2018-11-13,Clementine,Cat
2018-12-10,Apple,Cat
2018-11-14,Mishka,Dog
2018-11-24,Abigail,Dog
2018-11-17,Charlie,Dog
2018-12-30,Odis,Dog
2018-10-26,Jack,Cat
2018-11-29,Shenna,Cat
2018-10-21,Jack,Cat
2018-12-03,Luci,Cat
2018-12-25,Moku,Dog
2018-11-03,Bruno,Dog
2018-10-31,Daisy,Dog
2018-11-30,Fiona,Dog
2018-12-07,Girl,Cat
2018-11-03,Hugo,Dog
2018-12-27,Rudy,Dog
2018-12-22,Cat,Cat
2018-11-03,Nala,Dog
2018-12-20,"Jimmy Chew ""Chewie""",Dog
2018-11-01,Brutus,Dog
2018-12-26,Dickie,Dog
2018-12-20,Coco,Dog
2018-11-21,Jerry,Cat
2018-11-24,Indie,Dog
2018-11-27,Henry,Cat
2018-12-13,Dori,Cat
2018-11-07,Bynx,Cat
2018-11-18,Foxy,Dog
2018-12-09,Shaggy,Cat
2018-11-29,LUCIUS,Cat
2018-11-01,Luthien,Cat
2018-11-23,Lexi,Dog
2018-12-03,Manny,Dog
2018-12-05,Eavie,Dog
2018-12-23,Clio,Cat
2018-10-25,Lucas,Dog
2018-12-26,Roxie,Dog
2018-12-17,Bones,Cat
2018-12-12,Rue,Dog
2018-11-03,Maple,Dog
2018-10-20,Chev,Dog
2018-11-24,Buddy,Dog
2018-11-27,Ziggy,Cat
2018-12-12,Ruby,Dog
2018-12-01,Murphy,Cat
2017-12-12,Mr. Miyagi,Dog
2018-11-16,Marley,Dog
2018-10-25,Thundercleese,Cat
2018-12-07,Lulu,Cat
2018-12-27,Juneau,Dog
2018-12-06,Nova,Cat
2018-11-28,Buddy,Dog
2018-11-08,Gemma,Dog
2016-12-13,Doggie,Cat
2018-11-18,Niko,Dog
2018-11-14,Gus,Dog
2018-11-15,Gobo,Dog
2018-12-09,Mickie,Dog
2018-11-06,Gracie,Dog
2018-11-30,Jameson,Dog
2018-11-29,Milo,Cat
2018-12-09,Smokey,Dog
2018-11-23,Pumpkin,Cat
2018-10-18,Orbit,Dog
2018-10-23,Clancy,Cat
2018-12-17,Renjo,Dog
2018-12-05,Rizzo,Dog
2018-11-26,Lucy,Dog
2018-11-05,Bentley,Dog
2018-12-17,Diamond,Dog
2018-11-05,Abraham,Dog
2018-11-20,Izzy,Dog
2016-12-13,Zero,Dog
2018-12-11,Poppy,Dog
2018-12-27,Mori,Dog
2017-01-25,Dodger,Dog
2018-10-21,Kiki,Cat
2018-12-29,Iapetus,Cat
2018-10-18,Bella,Dog
2018-12-07,Stella,Dog
2018-12-27,Rocky,Cat
2018-12-02,Roxy,Dog
2018-11-25,Eddie,Dog
2018-12-27,Sadie,Dog
2018-11-19,Trixie,Dog
2018-11-24,Mira Shakira,Dog
2018-11-09,Tango,Dog
2018-12-12,Woodruff,Cat
2018-11-01,Drake,Dog
2018-11-21,Luna,Cat
2018-10-19,Sebben,Cat
2018-11-22,Abby,Dog
2018-11-30,Bobo,Dog
2018-12-22,Lucy,Dog
2018-11-08,Pepper,Dog
2018-12-19,Fredi,Dog
2018-10-31,Daisy,Dog
2018-12-11,Freddie,Dog
2018-05-05,Jupiter,Dog
2018-10-26,Cassie (Kasper),Cat
2018-11-30,Flower,Dog
2018-08-07,Minnie,Cat
2018-11-05,Walter,Dog
2018-12-17,Lucy,Dog
2018-12-07,Olive,Dog
2018-12-19,Joan Watson,Dog
2018-11-19,Ellie,Dog
2018-10-11,Abbey,Cat
2018-11-25,Austin,Dog
2018-11-19,Tank,Dog
2018-11-18,Sancho,Dog
2018-11-26,Mochi,Dog
2018-10-25,Ellie,Cat
2018-12-27,Willow La Chasse,Cat
2018-10-25,Grace,Dog
2018-11-17,Hoodie,Dog
2018-12-07,Simon,Dog
2018-12-18,Rexx,Dog
2018-11-29,Sirius Lee Welzen,Dog
2018-11-25,Lexi,Dog
2018-11-19,Fili,Cat
2018-12-25,Volta,Cat
2018-12-14,Artemis,Cat
2018-12-16,Tiger,Dog
2018-12-01,Samuel Fox,Dog
2018-10-25,Commando,Dog
2018-10-21,Adarha,Dog
2018-11-23,Mango,Dog
2018-09-17,Rudie,Dog
2018-11-09,Rose,Cat
2016-12-29,Dakota,Dog
2018-11-07,Penny,Dog
2018-12-17,Charlie,Dog
2018-11-21,Charlie,Dog
2018-10-28,Fondue,Dog
2018-11-05,Oliver,Cat
2018-11-24,Bailey,Dog
2018-12-07,Beau,Dog
2018-11-19,Benji,Dog
2018-11-16,Mei Ling,Dog
2018-10-18,Pippen,Dog
2018-12-01,Kylo,Dog
2018-10-27,Kate,Dog
2018-10-25,Fellini,Dog
2018-12-20,Mimi,Cat
2018-12-13,Hera,Dog
2018-11-20,Pepper Anne,Cat
2018-12-06,Sunny,Cat
2018-10-29,Ted,Dog
2018-12-11,Gracie,Cat
2018-11-17,Blue,Dog
2018-11-15,Nirvash,Dog
2018-12-13,Knox,Dog
2018-12-10,Nala,Dog
2018-11-20,Murphy,Dog
2018-12-01,Winston,Dog
2018-12-06,George,Dog
2018-11-13,Rikku,Cat
2018-12-10,Dexter,Dog
2018-12-05,Carmella,Cat
2018-11-12,Casper,Dog
2018-11-07,Rascal,Cat
2018-10-18,Josie,Dog
2018-10-22,Tula,Dog
2018-12-11,Kiba,Dog
2018-12-19,Woozle,Cat
2018-11-26,Chloe,Dog
2017-12-07,Elecktra,Cat
2018-11-06,Meelo,Cat
2018-12-15,Frida Pawlo,Cat
2018-10-18,Mojo,Dog
2018-12-15,Lyra,Cat
2018-11-06,Smokey,Cat
2018-11-09,Morganna,Cat
2018-10-18,Berlioz,Cat
2018-10-15,Forbin,Dog
2018-10-18,Quentin,Dog
2018-11-02,Atlas,Cat
2018-10-20,Millie,Dog
2018-10-24,Ozzy,Dog
2018-10-25,Piper,Cat
2018-12-20,Suzie,Cat
2018-12-23,Cooper,Dog
2018-11-17,Raja,Cat
2018-12-30,Crookshanks,Cat
2018-10-20,Kipling,Dog
2018-11-20,Princess,Cat
2018-10-24,Trudy,Dog
2018-12-22,Chewie,Dog
2016-12-05,Vader,Dog
2018-11-28,Drako,Dog
2018-11-10,Penny,Cat
2018-10-19,Brody Shoji,Dog
2018-10-31,Kirito,Cat
2018-11-28,Rocky,Cat
2018-10-26,Ralph,Dog
2018-10-21,Roscoe,Dog
2018-10-20,Peter,Cat
2018-12-03,Princess,Dog
2018-10-27,Benny,Dog
2018-11-10,Sweet Allie,Dog
2018-11-17,Fonzie,Cat
2018-11-07,Petey,Dog
2018-11-28,Chloe,Cat
2018-10-25,Aiko,Dog
2018-10-28,Buffy,Cat
2018-11-15,Haru,Dog
2018-12-01,Rosemary,Cat
2018-11-07,Abby,Cat
2018-11-13,Monster,Cat
2018-11-20,Bear,Cat
2018-11-20,Rufina,Dog
2018-10-25,Josie,Dog
2018-11-06,Newman,Cat
2018-11-14,Wolfgang,Dog
2018-10-18,Roscoe,Dog
2018-11-20,Shelby,Dog
2018-11-21,Shelly,Cat
2018-11-25,Briggs,Dog
2016-12-18,Staccato,Cat
2018-10-30,Rocky,Dog
2018-11-22,Rocket,Dog
2018-11-20,Rocket,Dog
2018-10-26,Toshiko,Cat
2018-12-10,Pilot,Dog
